NIK,Nama,Tempat Lahir,Tanggal Lahir,Jenis Kelamin,Gol. Darah,Alamat,RT/RW,Kel/Desa,Kecamatan,Agama,Status Perkawinan,Pekerjaan,Kewarganegaraan,Berlaku Hingga
1108185805959373,Murni Pratama,Samarinda,18-05-1995,Perempuan,A,Jalan Merdeka No.32,07/08,Cilincing,Pancoran Mas,Islam,Belum Kawin,Pegawai Negeri,WNI,Seumur Hidup
4401330304480259,Ahmad Santoso,Bukittinggi,03-04-1948,Laki-Laki,AB,Jalan Thamrin No.197,04/08,Purnawarman,Sukmajaya,Buddha,Cerai Hidup,Guru,WNI,Seumur Hidup
3979626702616070,Putri Pratama,Cirebon,27-02-1961,Perempuan,B,Jalan Sudirman No.187,11/02,Kebon Kacang,Sukajaya,Buddha,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
1208644410951133,Putri Wibowo,Tenggarong,04-10-1995,Perempuan,O,Jalan Merdeka No.133,03/01,Kebon Kacang,Cengkareng,Islam,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
1790544904672234,Dewi Santoso,Binjai,09-04-1967,Perempuan,O,Jalan Sudirman No.111,01/04,Purnawarman,Tapos,Katolik,Cerai Hidup,Guru,WNI,Seumur Hidup
1255890707766498,Herman Hidayat,Medan,07-07-1976,Laki-Laki,B,Jalan Sudirman No.131,02/16,Purnawarman,Cipayung,Konghucu,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
2404370302537060,Hendra Saputra,Padang,03-02-1953,Laki-Laki,B,Jalan Diponegoro No.169,12/15,Cibubur,Pancoran Mas,Hindu,Belum Kawin,Guru,WNI,Seumur Hidup
2192140508573469,Herman Santoso,Jakarta Timur,05-08-1957,Laki-Laki,AB,Jalan Gajah Mada No.70,15/18,Kebon Kacang,Sukmajaya,Kristen,Cerai Hidup,Wartawan,WNI,Seumur Hidup
3578862302753432,Herman Setiawan,Samarinda,23-02-1975,Laki-Laki,O,Jalan Sudirman No.131,05/21,Mekarjaya,Beji,Kristen,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
1381594807845298,Putri Purnomo,Gunungkidul,08-07-1984,Perempuan,A,Jalan Sudirman No.96,17/15,Tanah Abang,Sukajaya,Katolik,Cerai Hidup,Buruh,WNI,Seumur Hidup
4204940608586933,Wahyu Wibowo,Yogyakarta,06-08-1958,Laki-Laki,AB,Jalan Diponegoro No.85,06/19,Purnawarman,Pancoran Mas,Buddha,Cerai Hidup,Wartawan,WNI,Seumur Hidup
4182096801462966,Sunarti Purnomo,Blitar,28-01-1946,Perempuan,A,Jalan Gajah Mada No.131,08/11,Kebon Jeruk,Sukmajaya,Hindu,Cerai Hidup,Guru,WNI,Seumur Hidup
1267942212468989,Ahmad Sutrisno,Balikpapan,22-12-1946,Laki-Laki,O,Jalan Merdeka No.149,06/08,Desakota,Cibadak,Konghucu,Kawin,Pegawai Negeri,WNI,Seumur Hidup
2085240911599835,Yusuf Saputra,Jakarta Barat,09-11-1959,Laki-Laki,B,Jalan Sudirman No.35,19/13,Karanganyar,Kemayoran,Islam,Cerai Hidup,Buruh,WNI,Seumur Hidup
1971930506452948,Teguh Hidayat,Bengkalis,05-06-1945,Laki-Laki,B,Jalan Thamrin No.9,17/18,Sukamaju,Pancoran Mas,Konghucu,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
2587175211066081,Dewi Saputra,Tebing Tinggi,12-11-2006,Perempuan,B,Jalan Sudirman No.200,01/21,Sindangsari,Sukajaya,Konghucu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
1103110307658852,Teguh Setiawan,Bukittinggi,03-07-1965,Laki-Laki,B,Jalan Sudirman No.6,07/06,Sindangsari,Beji,Konghucu,Cerai Hidup,Guru,WNI,Seumur Hidup
1550842503042225,Ahmad Wahyudi,Jakarta Pusat,25-03-2004,Laki-Laki,O,Jalan Sudirman No.65,03/13,Tanjungsari,Cilandak,Kristen,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
2270220703062100,Herman Wibowo,Gianyar,07-03-2006,Laki-Laki,AB,Jalan Diponegoro No.90,10/06,Mekarjaya,Sukajaya,Islam,Cerai Hidup,Karyawan Honorer,WNI,Seumur Hidup
1276186201745026,Kartika Wahyudi,Bontang,22-01-1974,Perempuan,O,Jalan Sudirman No.103,03/16,Purnawarman,Cipayung,Islam,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3386601212803918,Gunawan Purnomo,Madiun,12-12-1980,Laki-Laki,AB,Jalan Thamrin No.174,03/08,Cilincing,Sukmajaya,Islam,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
1101082002015850,Teguh Wibowo,Payakumbuh,20-02-2001,Laki-Laki,AB,Jalan Diponegoro No.61,06/11,Sindangsari,Tapos,Buddha,Belum Kawin,Buruh,WNI,Seumur Hidup
3102520811568291,Hendra Santoso,Tegal,08-11-1956,Laki-Laki,B,Jalan Diponegoro No.193,01/11,Purnawarman,Pancoran Mas,Buddha,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
1899076602014451,Fitri Sutrisno,Jakarta Barat,26-02-2001,Perempuan,AB,Jalan Sudirman No.121,16/22,Sukamaju,Sukajaya,Buddha,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
4263282403708184,Budi Hidayat,Jakarta Utara,24-03-1970,Laki-Laki,A,Jalan Thamrin No.56,04/23,Sukamaju,Cibadak,Hindu,Kawin,Karyawan Honorer,WNI,Seumur Hidup
2228090407900404,Yusuf Saputra,Bengkalis,04-07-1990,Laki-Laki,A,Jalan Sudirman No.167,08/11,Mekarjaya,Sukmajaya,Buddha,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3622130601883233,Wahyu Pratama,Tegal,06-01-1988,Laki-Laki,A,Jalan Merdeka No.71,16/19,Tanjungsari,Beji,Islam,Cerai Hidup,Guru,WNI,Seumur Hidup
1773122604623154,Ahmad Wibowo,Bontang,26-04-1962,Laki-Laki,AB,Jalan Merdeka No.58,18/04,Mekarjaya,Kemayoran,Katolik,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
2481444403833701,Dwi Setiawan,Gianyar,04-03-1983,Perempuan,A,Jalan Merdeka No.28,15/17,Cibubur,Cibadak,Konghucu,Belum Kawin,Guru,WNI,Seumur Hidup
3922854504714841,Dewi Santoso,Tanjungbalai,05-04-1971,Perempuan,AB,Jalan Diponegoro No.2,15/16,Cilincing,Sukajaya,Katolik,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
3481385404790601,Dewi Wijaya,Padang,14-04-1979,Perempuan,AB,Jalan Gajah Mada No.62,09/04,Tanjungsari,Pancoran Mas,Konghucu,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
2501524608730279,Murni Setiawan,Tenggarong,06-08-1973,Perempuan,A,Jalan Diponegoro No.185,10/12,Sindangsari,Tapos,Hindu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
2008054711968910,Indah Wijaya,Kuta,07-11-1996,Perempuan,A,Jalan Thamrin No.129,03/13,Mekarjaya,Cipayung,Kristen,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
3257581106779538,Herman Sutrisno,Medan,11-06-1977,Laki-Laki,AB,Jalan Diponegoro No.42,05/09,Cibubur,Pancoran Mas,Katolik,Cerai Hidup,Wartawan,WNI,Seumur Hidup
2923446502478246,Indah Setiawan,Jakarta Pusat,25-02-1947,Perempuan,A,Jalan Gajah Mada No.91,07/01,Cilincing,Tapos,Konghucu,Kawin,Wiraswasta,WNI,Seumur Hidup
3996914308043421,Kartika Pratama,Kediri,03-08-2004,Perempuan,O,Jalan Diponegoro No.106,03/18,Sindangsari,Sukmajaya,Buddha,Kawin,Pegawai Negeri,WNI,Seumur Hidup
3077934401508048,Murni Wijaya,Surakarta,04-01-1950,Perempuan,AB,Jalan Gajah Mada No.119,13/04,Purnawarman,Cibadak,Buddha,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
4218135809037977,Fitri Sutrisno,Yogyakarta,18-09-2003,Perempuan,A,Jalan Thamrin No.158,01/17,Mekarjaya,Cibadak,Kristen,Belum Kawin,Wartawan,WNI,Seumur Hidup
1753675810780531,Dewi Wahyudi,Surakarta,18-10-1978,Perempuan,A,Jalan Merdeka No.73,02/02,Mekarjaya,Cibadak,Kristen,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
3714862206668462,Gunawan Purnomo,Jakarta Timur,22-06-1966,Laki-Laki,AB,Jalan Diponegoro No.80,17/06,Sindangsari,Tapos,Buddha,Belum Kawin,Pegawai Negeri,WNI,Seumur Hidup
3474400411808578,Ahmad Setiawan,Depok,04-11-1980,Laki-Laki,B,Jalan Sudirman No.113,14/21,Cibubur,Sukajaya,Buddha,Belum Kawin,Pegawai Swasta,WNI,Seumur Hidup
2871400511455565,Joko Wahyudi,Denpasar,05-11-1945,Laki-Laki,B,Jalan Gajah Mada No.29,10/05,Purnawarman,Cipayung,Konghucu,Belum Kawin,Buruh,WNI,Seumur Hidup
2044511801658879,Yusuf Wibowo,Bengkalis,18-01-1965,Laki-Laki,A,Jalan Thamrin No.134,20/14,Tanjungsari,Tapos,Hindu,Kawin,Wiraswasta,WNI,Seumur Hidup
1703391908830318,Wahyu Saputra,Bekasi,19-08-1983,Laki-Laki,AB,Jalan Diponegoro No.90,16/24,Kebon Kacang,Cipayung,Islam,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
3944835812045534,Lestari Purnomo,Bekasi,18-12-2004,Perempuan,A,Jalan Merdeka No.18,15/17,Tanah Abang,Cibadak,Hindu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
3997482211573080,Gunawan Wahyudi,Semarang,22-11-1957,Laki-Laki,B,Jalan Diponegoro No.88,08/20,Kebon Kacang,Beji,Islam,Belum Kawin,Pelajar/Mahasiswa,WNI,Seumur Hidup
3092116307995759,Putri Wijaya,Denpasar,23-07-1999,Perempuan,O,Jalan Diponegoro No.114,09/09,Sukamaju,Cibadak,Buddha,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
1903016607514443,Kartika Santoso,Depok,26-07-1951,Perempuan,O,Jalan Merdeka No.21,08/15,Sindangsari,Tapos,Hindu,Kawin,Pegawai Swasta,WNI,Seumur Hidup
3127160703707534,Joko Hidayat,Kediri,07-03-1970,Laki-Laki,B,Jalan Merdeka No.37,19/20,Kebon Kacang,Pancoran Mas,Konghucu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
4168964411064307,Zahra Wibowo,Tebing Tinggi,04-11-2006,Perempuan,A,Jalan Thamrin No.103,04/01,Cilincing,Beji,Hindu,Kawin,Wartawan,WNI,Seumur Hidup
3026992007806159,Hendra Hidayat,Bantul,20-07-1980,Laki-Laki,A,Jalan Diponegoro No.162,01/09,Sindangsari,Pancoran Mas,Kristen,Belum Kawin,Wiraswasta,WNI,Seumur Hidup
3686245910847476,Lestari Purnomo,Kulon Progo,19-10-1984,Perempuan,AB,Jalan Merdeka No.10,14/05,Tanjungsari,Beji,Konghucu,Cerai Hidup,Buruh,WNI,Seumur Hidup
1937192810963790,Teguh Saputra,Kampar,28-10-1996,Laki-Laki,AB,Jalan Gajah Mada No.110,13/20,Karanganyar,Kemayoran,Hindu,Kawin,Buruh,WNI,Seumur Hidup
1718872705591466,Herman Pratama,Denpasar,27-05-1959,Laki-Laki,B,Jalan Sudirman No.134,19/15,Mekarjaya,Cibadak,Buddha,Kawin,Wiraswasta,WNI,Seumur Hidup
1746971310554401,Ahmad Wijaya,Kampar,13-10-1955,Laki-Laki,A,Jalan Diponegoro No.176,11/24,Karanganyar,Cipayung,Islam,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
