
NIK,Nama,Tempat Lahir,Tanggal Lahir,Jenis Kelamin,Gol. Darah,Alamat,RT/RW,Kel/Desa,Kecamatan,Agama,Status Perkawinan,Pekerjaan,Kewarganegaraan,Berlaku Hingga
1108185807596760,Murni Pratama,Samarinda,18-07-1959,Perempuan,A,Jalan Merdeka No.56,09/02,Cilincing,Pancoran Mas,Islam,Belum Kawin,Pegawai Negeri,WNI,Seumur Hidup
4401331807596760,Ahmad Santoso,Bukittinggi,18-07-1959,Laki-Laki,AB,Jalan Thamrin No.56,09/02,Purnawarman,Sukmajaya,Buddha,Cerai Hidup,Guru,WNI,Seumur Hidup
3979625807596760,Putri Pratama,Cirebon,18-07-1959,Perempuan,B,Jalan Sudirman No.56,09/02,Kebon Kacang,Sukajaya,Buddha,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
1208645807596760,Putri Wibowo,Tenggarong,18-07-1959,Perempuan,O,Jalan Merdeka No.56,09/02,Kebon Kacang,Cengkareng,Islam,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
1790545807596760,Dewi Santoso,Binjai,18-07-1959,Perempuan,O,Jalan Sudirman No.56,09/02,Purnawarman,Tapos,Katolik,Cerai Hidup,Guru,WNI,Seumur Hidup
1255891807596760,Herman Hidayat,Medan,18-07-1959,Laki-Laki,B,Jalan Sudirman No.56,09/02,Purnawarman,Cipayung,Konghucu,Cerai Hidup,Wiraswasta,WNI,Seumur Hidup
2404371807596760,Hendra Saputra,Padang,18-07-1959,Laki-Laki,B,Jalan Diponegoro No.56,09/02,Cibubur,Pancoran Mas,Hindu,Belum Kawin,Guru,WNI,Seumur Hidup
2192141807596760,Herman Santoso,Jakarta Timur,18-07-1959,Laki-Laki,AB,Jalan Gajah Mada No.56,09/02,Kebon Kacang,Sukmajaya,Kristen,Cerai Hidup,Wartawan,WNI,Seumur Hidup
3578861807596760,Herman Setiawan,Samarinda,18-07-1959,Laki-Laki,O,Jalan Sudirman No.56,09/02,Mekarjaya,Beji,Kristen,Cerai Hidup,Pelajar/Mahasiswa,WNI,Seumur Hidup
1381595807596760,Putri Purnomo,Gunungkidul,18-07-1959,Perempuan,A,Jalan Sudirman No.56,09/02,Tanah Abang,Sukajaya,Katolik,Cerai Hidup,Buruh,WNI,Seumur Hidup
4204941807596760,Wahyu Wibowo,Yogyakarta,18-07-1959,Laki-Laki,AB,Jalan Diponegoro No.56,09/02,Purnawarman,Pancoran Mas,Buddha,Cerai Hidup,Wartawan,WNI,Seumur Hidup
4182095807596760,Sunarti Purnomo,Blitar,18-07-1959,Perempuan,A,Jalan Gajah Mada No.56,09/02,Kebon Jeruk,Sukmajaya,Hindu,Cerai Hidup,Guru,WNI,Seumur Hidup
1267941807596760,Ahmad Sutrisno,Balikpapan,18-07-1959,Laki-Laki,O,Jalan Merdeka No.56,09/02,Desakota,Cibadak,Konghucu,Kawin,Pegawai Negeri,WNI,Seumur Hidup
2085241807596760,Yusuf Saputra,Jakarta Barat,18-07-1959,Laki-Laki,B,Jalan Sudirman No.56,09/02,Karanganyar,Kemayoran,Islam,Cerai Hidup,Buruh,WNI,Seumur Hidup
1971931807596760,Teguh Hidayat,Bengkalis,18-07-1959,Laki-Laki,B,Jalan Thamrin No.56,09/02,Sukamaju,Pancoran Mas,Konghucu,Cerai Hidup,Pegawai Swasta,WNI,Seumur Hidup
2587175807596760,Dewi Saputra,Tebing Tinggi,18-07-1959,Perempuan,B,Jalan Sudirman No.56,09/02,Sindangsari,Sukajaya,Konghucu,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
1103111807596760,Teguh Setiawan,Bukittinggi,18-07-1959,Laki-Laki,B,Jalan Sudirman No.56,09/02,Sindangsari,Beji,Konghucu,Cerai Hidup,Guru,WNI,Seumur Hidup
1550841807596760,Ahmad Wahyudi,Jakarta Pusat,18-07-1959,Laki-Laki,O,Jalan Sudirman No.56,09/02,Tanjungsari,Cilandak,Kristen,Cerai Hidup,Pegawai Negeri,WNI,Seumur Hidup
